id,battery_voltage,current,soc,max_voltage,min_voltage,max_voltage_cells,min_voltage_cells,max_temp,max_temp_cell,min_temp,min_temp_cell,charge_dis_status,charge_mos_status,dis_mos_status,bms_life,residual_capacity,timestamp

0x12304002,52.400000000000006,0.0,31.0,3280,3276,4,3,28,1,28,1,0,1,1,3,13627,2025-08-08 15:21:48
0x12334002,52.400000000000006,0.0,31.0,3280,3276,4,3,28,1,28,1,0,1,1,3,13627,2025-08-08 15:21:48
0x12304002,52.400000000000006,0.0,31.0,3281,3278,4,3,28,1,28,1,0,1,1,3,13627,2025-08-08 15:22:18
0x12334002,52.400000000000006,0.0,31.0,3281,3278,4,3,28,1,28,1,0,1,1,3,13627,2025-08-08 15:22:18
0x521,52.400000000000006,0.0,31.0,3281,3277,4,14,28,1,28,1,0,1,1,3,13627,2025-08-08 15:22:50
0x12344002,52.400000000000006,0.0,31.0,3281,3277,4,14,28,1,28,1,0,1,1,3,13627,2025-08-08 15:22:50
0x12304002,52.400000000000006,0.0,31.0,3280,3277,4,3,28,1,28,1,0,1,1,3,13626,2025-08-08 15:24:44
0x12334002,52.400000000000006,0.0,31.0,3280,3277,4,3,28,1,28,1,0,1,1,3,13626,2025-08-08 15:24:45
0x12304002,52.400000000000006,0.0,31.0,3281,3277,4,3,28,1,28,1,0,1,1,3,13626,2025-08-08 15:25:10
0x12304002,52.2,0.0,28.5,3265,3261,4,14,27,2,26,1,0,1,1,3,12597,2025-08-11 11:23:23
0x12304002,52.2,0.0,28.5,3264,3260,4,3,27,1,27,1,0,1,1,3,12597,2025-08-11 11:23:54
